Date_Time,UNIT_NAME,LOAD_CATAGORY,LOAD_ID,LOAD_TRAFFX100,LOAD_CS_AMOUNT
12.25.2007 01:00:00,UNIT03LOC1,PS PASSING,115,0,0
12.25.2007 01:00:00,UNIT03LOC1,DEVICE INIT,16,40,139
12.25.2007 01:00:00,UNIT03LOC1,E CATEGORY,160,0,0
12.25.2007 01:00:00,UNIT03LOC1,IMSC HO INC,13,645,86
12.25.2007 01:00:00,UNIT03LOC1,IMSC HO INIT,14,560,89
12.25.2007 01:00:00,UNIT03LOC1,INC TECH1 ARRIVE,42,5390,809
12.25.2007 01:00:00,UNIT03LOC1,INC TECH2 ARRIVE,43,0,0
12.25.2007 01:00:00,UNIT03LOC1,INC SCP,53,0,0
12.25.2007 01:00:00,UNIT03LOC1,INC INIT,44,1530,541
12.25.2007 01:00:00,UNIT03LOC1,INC VIDEO,49,0,0
12.25.2007 01:00:00,UNIT03LOC1,INCNOHO,45,7265,1699
12.25.2007 01:00:00,UNIT03LOC1,PASSING,6,8250,1829
12.25.2007 01:00:00,UNIT03LOC1,PASSING IP,21,0,0
12.25.2007 01:00:00,UNIT03LOC1,INT SCP,56,615,162
12.25.2007 01:00:00,UNIT03LOC1,INTERNAL,1,640,183
12.25.2007 01:00:00,UNIT03LOC1,ISC INIT,78,0,0
12.25.2007 01:00:00,UNIT03LOC1,ISC INIT INT,79,0,0
12.25.2007 01:00:00,UNIT03LOC1,ISC ARRIVE,80,0,0
12.25.2007 01:00:00,UNIT03LOC1,ISC ARRIVE INT,81,0,0
12.25.2007 01:00:00,UNIT03LOC1,GATE TECH1 INIT,24,6200,1457
12.25.2007 01:00:00,UNIT03LOC1,GATE TECH1 ARRIVE,27,6520,1084
12.25.2007 01:00:00,UNIT03LOC1,GATE TECH2 INIT,25,0,0
12.25.2007 01:00:00,UNIT03LOC1,GATE TECH2 ARRIVE,28,0,0
12.25.2007 01:00:00,UNIT03LOC1,GATE PASSING,26,8250,1829
12.25.2007 01:00:00,UNIT03LOC1,GATE INIT,29,7645,1764
12.25.2007 01:00:00,UNIT03LOC1,MO CSS,23,6660,1443
12.25.2007 01:00:00,UNIT03LOC1,INIT SCP,51,5620,1394
12.25.2007 01:00:00,UNIT03LOC1,INIT INIT,3,5400,1129
12.25.2007 01:00:00,UNIT03LOC1,INIT VIDEO,47,0,0
12.25.2007 01:00:00,UNIT03LOC1,INITINATING,5,6200,1615
12.25.2007 01:00:00,UNIT03LOC1,INIT SCP,54,25,23
12.25.2007 01:00:00,UNIT03LOC1,INIT VIDEO,50,0,0
12.25.2007 01:00:00,UNIT03LOC1,INIT,8,7645,1764
12.25.2007 01:00:00,UNIT03LOC1,INIT IP,20,0,0
12.25.2007 01:00:00,UNIT03LOC1,INITNOHO,46,7445,1852
12.25.2007 01:00:00,UNIT03LOC1,PBX INIT,9,0,0
12.25.2007 01:00:00,UNIT03LOC1,PBX ARRIVE,10,0,0
12.25.2007 01:00:00,UNIT03LOC1,SCP INIT,15,0,0
12.25.2007 01:00:00,UNIT03LOC1,SCP SERVICE,31,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP INC,76,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP MM INC,84,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP MM INIT,82,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP MM INIT,85,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP MM ARRIVE,83,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP INIT,74,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP INIT,77,0,0
12.25.2007 01:00:00,UNIT03LOC1,TSIP ARRIVE,75,0,0
12.25.2007 01:00:00,UNIT03LOC1,ARRIVE SCP,52,50,11
12.25.2007 01:00:00,UNIT03LOC1,ARRIVE INC,4,5870,907
12.25.2007 01:00:00,UNIT03LOC1,ARRIVE VIDEO,48,0,0
12.25.2007 01:00:00,UNIT03LOC1,ARRIVEINATING,7,6520,1090
12.25.2007 01:00:00,UNIT03LOC1,PASSING,2,2075,556
12.25.2007 01:00:00,UNIT03LOC1,VMS INIT,11,0,0
12.25.2007 01:00:00,UNIT03LOC1,VMS ARRIVE,12,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS TECH1INIT INIT,94,5865,1160
12.25.2007 01:00:00,UNIT03LOC1,CS TECH2INIT INIT,97,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS INC TECH1ARRIVE,98,5390,809
12.25.2007 01:00:00,UNIT03LOC1,CS INC TECH2ARRIVE,99,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS PASSING,90,7265,1699
12.25.2007 01:00:00,UNIT03LOC1,CS INT TECH1-TECH1,92,640,183
12.25.2007 01:00:00,UNIT03LOC1,CS INT TECH1-TECH2,93,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS INT TECH2-TECH1,95,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS INT TECH2-TECH2,96,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS INIT TECH1,86,6660,1600
12.25.2007 01:00:00,UNIT03LOC1,CS INIT TECH2,88,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS INIT,91,7445,1852
12.25.2007 01:00:00,UNIT03LOC1,CS ARRIVE TECH1,87,6040,991
12.25.2007 01:00:00,UNIT03LOC1,CS ARRIVE TECH2,89,0,0
12.25.2007 01:00:00,UNIT03LOC1,CS PASSING,100,1530,541
12.25.2007 02:00:00,UNIT03LOC1,---,19,0,0
12.25.2007 02:00:00,UNIT03LOC1,---,18,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH1 INTERNAL,37,330,107
12.25.2007 02:00:00,UNIT03LOC1,TECH1 INIT,34,3420,1249
12.25.2007 02:00:00,UNIT03LOC1,TECH1 INIT INIT,40,2970,938
12.25.2007 02:00:00,UNIT03LOC1,TECH1 ARRIVE,35,2685,692
12.25.2007 02:00:00,UNIT03LOC1,TECH1-TECH2 INT,38,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH2 INTERNAL,36,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH2 INIT,32,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH2 INIT INIT,41,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH2 ARRIVE,33,0,0
12.25.2007 02:00:00,UNIT03LOC1,TECH2-TECH1 INT,39,0,0
12.25.2007 02:00:00,UNIT03LOC1,A CATEGORY,156,0,0
12.25.2007 02:00:00,UNIT03LOC1,RADIO-IF CSS,22,6380,1771
12.25.2007 02:00:00,UNIT03LOC1,B CATEGORY,157,0,0
12.25.2007 02:00:00,UNIT03LOC1,C CATEGORY,158,0,0
12.25.2007 02:00:00,UNIT03LOC1,CMN MODE,30,0,0
12.25.2007 02:00:00,UNIT03LOC1,D CATEGORY,159,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS TECH1INIT INIT,109,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS TECH2-TECH1,110,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS TECH2-TECH2,111,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS TECH2INIT INIT,112,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS CSS,17,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INC-TECH1ARRIVE,113,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INC-TECH2ARRIVE,114,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS PASSING,105,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INT TECH1-TECH1,107,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INT TECH1-TECH2,108,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INIT TECH1,101,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INIT TECH2,103,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS INIT,106,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS ARRIVE TECH1,102,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS ARRIVE TECH2,104,0,0
12.25.2007 02:00:00,UNIT03LOC1,PS PASSING,115,0,0
12.25.2007 02:00:00,UNIT03LOC1,DEVICE INIT,16,25,88
12.25.2007 02:00:00,UNIT03LOC1,E CATEGORY,160,0,0
12.25.2007 02:00:00,UNIT03LOC1,IMSC HO INC,13,600,70
12.25.2007 02:00:00,UNIT03LOC1,IMSC HO INIT,14,305,54
12.25.2007 02:00:00,UNIT03LOC1,INC TECH1 ARRIVE,42,2345,585
12.25.2007 02:00:00,UNIT03LOC1,INC TECH2 ARRIVE,43,0,0
12.25.2007 02:00:00,UNIT03LOC1,INC SCP,53,0,0
12.25.2007 02:00:00,UNIT03LOC1,INC INIT,44,890,279
12.25.2007 02:00:00,UNIT03LOC1,INC VIDEO,49,0,0
12.25.2007 02:00:00,UNIT03LOC1,INCNOHO,45,3455,1066
12.25.2007 02:00:00,UNIT03LOC1,PASSING,6,4350,1173
12.25.2007 02:00:00,UNIT03LOC1,PASSING IP,21,0,0
12.25.2007 02:00:00,UNIT03LOC1,INT SCP,56,260,91
12.25.2007 02:00:00,UNIT03LOC1,INTERNAL,1,325,107
12.25.2007 02:00:00,UNIT03LOC1,ISC INIT,78,0,0
12.25.2007 02:00:00,UNIT03LOC1,ISC INIT INT,79,0,0
12.25.2007 02:00:00,UNIT03LOC1,ISC ARRIVE,80,0,0
12.25.2007 02:00:00,UNIT03LOC1,ISC ARRIVE INT,81,0,0
12.25.2007 02:00:00,UNIT03LOC1,GATE TECH1 INIT,24,3150,1137
12.25.2007 02:00:00,UNIT03LOC1,GATE TECH1 ARRIVE,27,3165,763
12.25.2007 02:00:00,UNIT03LOC1,GATE TECH2 INIT,25,0,0
12.25.2007 02:00:00,UNIT03LOC1,GATE TECH2 ARRIVE,28,0,0
12.25.2007 02:00:00,UNIT03LOC1,GATE PASSING,26,4350,1173
12.25.2007 02:00:00,UNIT03LOC1,GATE INIT,29,3885,1211
12.25.2007 02:00:00,UNIT03LOC1,MO CSS,23,3420,1122
12.25.2007 02:00:00,UNIT03LOC1,INIT SCP,51,2650,1042
12.25.2007 02:00:00,UNIT03LOC1,INIT INIT,3,2690,895
12.25.2007 02:00:00,UNIT03LOC1,INIT VIDEO,47,0,0
12.25.2007 02:00:00,UNIT03LOC1,INITINATING,5,3150,1237
12.25.2007 02:00:00,UNIT03LOC1,INIT SCP,54,15,22
12.25.2007 02:00:00,UNIT03LOC1,INIT VIDEO,50,0,0
12.25.2007 02:00:00,UNIT03LOC1,INIT,8,3885,1211
12.25.2007 02:00:00,UNIT03LOC1,INIT IP,20,0,0
12.25.2007 02:00:00,UNIT03LOC1,INITNOHO,46,3890,1308
12.25.2007 02:00:00,UNIT03LOC1,PBX INIT,9,0,0
12.25.2007 02:00:00,UNIT03LOC1,PBX ARRIVE,10,0,0
12.25.2007 02:00:00,UNIT03LOC1,SCP INIT,15,0,0
12.25.2007 02:00:00,UNIT03LOC1,SCP SERVICE,31,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP INC,76,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP MM INC,84,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP MM INIT,82,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP MM INIT,85,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP MM ARRIVE,83,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP INIT,74,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP INIT,77,0,0
12.25.2007 02:00:00,UNIT03LOC1,TSIP ARRIVE,75,0,0
12.25.2007 02:00:00,UNIT03LOC1,ARRIVE SCP,52,155,6
12.25.2007 02:00:00,UNIT03LOC1,ARRIVE INC,4,2830,658
12.25.2007 02:00:00,UNIT03LOC1,ARRIVE VIDEO,48,0,0
12.25.2007 02:00:00,UNIT03LOC1,ARRIVEINATING,7,3165,764
12.25.2007 02:00:00,UNIT03LOC1,PASSING,2,1185,278
12.25.2007 02:00:00,UNIT03LOC1,VMS INIT,11,0,0
12.25.2007 02:00:00,UNIT03LOC1,VMS ARRIVE,12,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS TECH1INIT INIT,94,2970,938
12.25.2007 02:00:00,UNIT03LOC1,CS TECH2INIT INIT,97,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS INC TECH1ARRIVE,98,2345,585
12.25.2007 02:00:00,UNIT03LOC1,CS INC TECH2ARRIVE,99,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS PASSING,90,3455,1066
12.25.2007 02:00:00,UNIT03LOC1,CS INT TECH1-TECH1,92,330,107
12.25.2007 02:00:00,UNIT03LOC1,CS INT TECH1-TECH2,93,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS INT TECH2-TECH1,95,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS INT TECH2-TECH2,96,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS INIT TECH1,86,3420,1222
12.25.2007 02:00:00,UNIT03LOC1,CS INIT TECH2,88,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS INIT,91,3890,1308
12.25.2007 02:00:00,UNIT03LOC1,CS ARRIVE TECH1,87,2685,692
12.25.2007 02:00:00,UNIT03LOC1,CS ARRIVE TECH2,89,0,0
12.25.2007 02:00:00,UNIT03LOC1,CS PASSING,100,890,279
12.25.2007 03:00:00,UNIT03LOC1,---,18,0,0
12.25.2007 03:00:00,UNIT03LOC1,---,19,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH1 INTERNAL,37,215,117
12.25.2007 03:00:00,UNIT03LOC1,TECH1 INIT,34,2240,1290
12.25.2007 03:00:00,UNIT03LOC1,TECH1 INIT INIT,40,1880,885
12.25.2007 03:00:00,UNIT03LOC1,TECH1 ARRIVE,35,2010,671
12.25.2007 03:00:00,UNIT03LOC1,TECH1-TECH2 INT,38,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH2 INTERNAL,36,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH2 INIT,32,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH2 INIT INIT,41,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH2 ARRIVE,33,0,0
12.25.2007 03:00:00,UNIT03LOC1,TECH2-TECH1 INT,39,0,0
12.25.2007 03:00:00,UNIT03LOC1,A CATEGORY,156,0,0
12.25.2007 03:00:00,UNIT03LOC1,RADIO-IF CSS,22,4130,1708
12.25.2007 03:00:00,UNIT03LOC1,B CATEGORY,157,0,0
12.25.2007 03:00:00,UNIT03LOC1,C CATEGORY,158,0,0
12.25.2007 03:00:00,UNIT03LOC1,CMN MODE,30,0,0
12.25.2007 03:00:00,UNIT03LOC1,D CATEGORY,159,0,0
